id,event_id,minute,second,team_id_x,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,is_goal,type_display_name,outcome_type_display_name,period_display_name,team_id_y,shirt_no,name,position,age,MOTM,team
2689537593,395,50,41.0,867,423949,30.2,33.1,27.6,64.1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.70'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.6'}]",True,,,,,False,False,Pass,Successful,SecondHalf,867,22,Mimeirhel Benita,DR,20,False,Excelsior
2689537835,396,50,44.0,867,444620,37.6,75.5,57.9,94.4,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.54'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",True,,,,,False,False,Pass,Successful,SecondHalf,867,4,Redouan El Yaakoubi,DC,28,False,Excelsior
2689537857,608,50,53.0,256,345441,5.5,25.5,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",True,,,,,False,False,BallTouch,Successful,SecondHalf,256,4,Lutsharel Geertruida,DR,23,False,Feyenoord
2689537883,397,50,53.0,867,400009,94.5,78.8,93.3,56.0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.63'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '609'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '93.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.0'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,Pass,Unsuccessful,SecondHalf,867,14,Couhaib Driouech,Sub,22,False,Excelsior
2689537961,609,50,54.0,256,302709,4.9,44.6,,,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '397'}, {'type': {'value': 88, 'displayName': 'HighClaim'}}]",True,,,,,False,False,Claim,Unsuccessful,SecondHalf,256,1,Justin Bijlow,GK,26,False,Feyenoord
2689537989,610,50,55.0,256,302709,7.6,44.6,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}]",False,,,,,False,False,KeeperPickup,Successful,SecondHalf,256,1,Justin Bijlow,GK,26,False,Feyenoord
2689538433,612,51,10.0,256,302709,9.9,47.3,54.3,26.9,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '48.6'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}, {'type': {'value': 1, 'displayName': 'Longball'}}]",True,,,,,False,False,Pass,Successful,SecondHalf,256,1,Justin Bijlow,GK,26,False,Feyenoord
2689538465,613,51,13.0,256,377288,54.3,26.9,63.9,21.0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.90'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",True,,,,,False,False,Pass,Unsuccessful,SecondHalf,256,9,Ayase Ueda,FW,25,False,Feyenoord
2689538531,398,51,14.0,867,444620,36.5,75.5,57.7,93.6,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.51'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",True,,,,,False,False,Pass,Successful,SecondHalf,867,4,Redouan El Yaakoubi,DC,28,False,Excelsior
2689538537,399,51,17.0,867,373556,58.3,93.3,,,[],False,,,,,False,False,BallRecovery,Successful,SecondHalf,867,12,Arthur Zagré,DL,22,False,Excelsior
